gene,condition,th2_z,th1_z,hardened_pass,donor_evidence,stability_score,atlas_class,coherence,coh_z_vs_null,drug_tier,drug_class,ubiquitin_system,validity,novelty,priority
LRRC42,Stim8hr,-2.4749688945692423,0.43010207901892533,False,untested,0.5,not_in_atlas,0.023,-0.93,0,unannotated,False,1.1187422236423106,0.8,1.0068680012780795
BFAR,Rest,-2.45727879619094,-0.38518847868848227,False,untested,0.5,not_in_atlas,-0.019,-1.72,0,unannotated,False,1.1143196990477349,0.8,1.0028877291429614
TCEANC,Stim8hr,-2.468017905960053,-0.9780097300653137,False,untested,0.375,not_in_atlas,0.119,0.9,0,unannotated,False,1.1045044764900132,0.8,0.9940540288410119
GLI2,Stim48hr,-2.1621306866376155,0.30259105444153084,False,untested,0.5,concordant,0.153,1.55,1,TF (hard),False,1.234282671659404,0.1,0.9788554694126723
PLXND1,Rest,-2.275225832738305,-0.36411289069661557,False,untested,0.5,not_in_atlas,0.021,-0.95,0,unannotated,False,1.0688064581845762,0.8,0.9619258123661186
CYB561A3,Stim8hr,-2.20213632128639,-0.3272421435098989,False,untested,0.5,not_in_atlas,0.017,-1.04,0,unannotated,False,1.0505340803215975,0.8,0.9454806722894378
SERPINB6,Rest,-2.1857442160431764,0.1110756874107442,False,untested,0.5,not_in_atlas,0.011,-1.15,0,unannotated,False,1.046436054010794,0.8,0.9417924486097146
ITIH4,Rest,-2.350711964990205,-0.9223650004765936,False,untested,0.375,not_in_atlas,0.106,0.66,0,unannotated,False,1.0451779912475512,0.8,0.9406601921227961
RNASE6,Rest,-2.0641031314464255,-0.6334124638503135,False,untested,0.375,not_in_atlas,0.133,1.16,0,unannotated,False,1.0360257828616064,0.8,0.9324232045754458
C9orf85,Rest,-2.098193676913095,-0.37342363681191737,False,untested,0.5,not_in_atlas,0.045,-0.5,0,unannotated,False,1.0245484192282737,0.8,0.9220935773054463
C15orf48,Rest,-2.0084649005880513,0.08503258369591976,False,untested,0.5,not_in_atlas,0.068,-0.06,0,unannotated,False,1.0021162251470128,0.8,0.9019046026323115
SAR1A,Stim8hr,-2.4048033196986225,-0.7034216944096179,False,untested,0.375,not_in_atlas,0.056,-0.3,0,unannotated,False,0.9762008299246556,0.8,0.8785807469321901
AOPEP,Stim8hr,-2.334070396129483,-0.8382206474598698,False,untested,0.375,not_in_atlas,0.051,-0.39,0,unannotated,False,0.9585175990323708,0.8,0.8626658391291337
ERRFI1,Rest,-2.3109721460121166,-0.8034570744235565,False,untested,0.375,not_in_atlas,0.037,-0.65,0,unannotated,False,0.9527430365030292,0.8,0.8574687328527263
LMOD3,Stim48hr,-2.006962815864758,-0.6135584471548661,False,untested,0.375,not_in_atlas,0.1,0.55,0,unannotated,False,0.9454907039661895,0.8,0.8509416335695705
