gene,condition,th2_z,th1_z,hardened_pass,donor_evidence,stability_score,atlas_class,coherence,coh_z_vs_null,drug_tier,drug_class,ubiquitin_system,validity,novelty,priority
IRF2BP2,Rest,-2.0293056077659437,-0.5277179561991998,True,untested,0.375,concordant,0.145,1.4,0,unannotated,False,3.0573264019414856,0.1,1.6815295210678172
C2CD5,Rest,-2.1637590037126397,-0.4269757249679752,True,untested,0.5,concordant,0.033,-0.72,0,unannotated,False,3.04093975092816,0.1,1.672516863010488
PRRC2C,Rest,-2.00948919747882,-0.3829406419048399,True,untested,0.5,concordant,0.068,-0.07,0,unannotated,False,3.002372299369705,0.1,1.6513047646533379
NCOR1,Stim8hr,-3.7458625202590814,-0.2782194697014634,False,robust,1.0,concordant,0.044,-0.53,0,unannotated,False,2.9364656300647702,0.1,1.6150560965356238
HNRNPA1,Rest,-2.229213476950565,0.308920972405601,False,robust,0.5,moderate,0.111,0.74,0,unannotated,False,2.1498033692376413,0.5,1.6123525269282308
SRRD,Stim48hr,-2.3180635762272987,0.42756275333373045,False,robust,0.5,moderate,0.089,0.33,0,unannotated,False,2.1207658940568246,0.5,1.5905744205426184
DNAJB9,Rest,-2.0563349123590124,-0.18279266863748522,False,robust,0.5,moderate,0.102,0.58,0,unannotated,False,2.086583728089753,0.5,1.5649377960673148
SLC25A27,Stim48hr,-2.3092229658789076,-0.10995916489581974,False,weak,0.5,concordant,0.083,0.21,3,small-molecule,False,1.103555741469727,0.1,1.5069556578083498
MAZ,Rest,-2.880651440100261,-0.9124907509282633,False,untested,0.5625,not_in_atlas,0.012,-1.14,1,TF (hard),False,1.2826628600250651,0.8,1.4543965740225586
DACT1,Stim8hr,-2.652859565944104,-0.10015473726325368,False,untested,0.75,not_in_atlas,0.146,1.42,0,unannotated,False,1.5907148914860259,0.8,1.4316434023374234
ZFP92,Stim8hr,-2.62352953657447,-0.5917211378433036,False,untested,0.5625,not_in_atlas,0.057,-0.27,1,TF (hard),False,1.2183823841436174,0.8,1.3965441457292558
VNN2,Rest,-2.0027118480163217,-0.808822348532138,False,untested,0.375,not_in_atlas,0.043,-0.54,2,surface/antibody,False,0.8756779620040804,0.8,1.3881101658036723
GLIS2,Stim48hr,-2.0588984102178345,-0.40074497260605163,False,untested,0.5,not_in_atlas,0.116,0.84,1,TF (hard),False,1.1197246025544585,0.8,1.3077521422990128
ZNF2,Stim8hr,-2.2912954650201267,-0.7758976392172326,False,untested,0.375,not_in_atlas,0.135,1.2,1,TF (hard),False,1.0978238662550317,0.8,1.2880414796295285
ALAS2,Stim48hr,-2.51999042739793,-0.44407836934211947,False,untested,0.75,not_in_atlas,0.065,-0.13,0,unannotated,False,1.3799976068494826,0.8,1.2419978461645345
TFEC,Stim8hr,-2.044264388808488,-0.2605626764322509,False,untested,0.5,not_in_atlas,0.077,0.11,1,TF (hard),False,1.0248160972021219,0.8,1.2223344874819098
MOB3C,Stim48hr,-2.3641809389048243,-0.4997400229533583,False,untested,0.5,not_in_atlas,0.165,1.77,0,unannotated,False,1.312295234726206,0.8,1.1810657112535854
HAS3,Stim8hr,-2.504334817129372,-0.8488303697576086,False,untested,0.5625,not_in_atlas,0.111,0.75,0,unannotated,False,1.282333704282343,0.8,1.1541003338541087
LMOD3,Rest,-2.7975459305702954,-0.900295258873405,False,untested,0.5625,not_in_atlas,-0.007,-1.48,0,unannotated,False,1.261886482642574,0.8,1.1356978343783166
NSD3,Stim48hr,-2.7815688807596723,-0.8477653980623936,False,untested,0.5625,not_in_atlas,0.03,-0.79,0,unannotated,False,1.257892220189918,0.8,1.1321029981709263
OVCA2,Stim48hr,-2.384689692967886,-0.3252652498193629,False,untested,0.5,not_in_atlas,0.134,1.19,0,unannotated,False,1.2449224232419713,0.8,1.1204301809177741
UNC5CL,Rest,-2.711736221046457,0.6817867074400609,False,untested,0.5625,not_in_atlas,0.067,-0.08,0,unannotated,False,1.2404340552616142,0.8,1.1163906497354528
ATL3,Rest,-2.058743554133618,0.48912328066981414,False,untested,0.5,not_in_atlas,0.165,1.78,0,unannotated,False,1.2371858885334044,0.8,1.113467299680064
RBM10,Rest,-2.0947137192230687,-0.12376418316470611,False,robust,0.5,concordant,0.054,-0.33,0,unannotated,False,2.0236784298057673,0.1,1.1130231363931722
GATA2,Stim48hr,-2.3336729398194866,-0.3354361490639137,False,untested,0.5,moderate,0.014,-1.09,1,TF (hard),False,1.0834182349548716,0.5,1.1125636762161537
ZNF440,Stim48hr,-2.007333559547935,-0.5306436416579291,False,untested,0.375,not_in_atlas,0.068,-0.06,1,TF (hard),False,0.8768333898869838,0.8,1.0891500508982854
ZC3H11A,Stim8hr,-2.519833862864756,-0.5935689499721061,False,untested,0.5625,not_in_atlas,0.069,-0.05,0,unannotated,False,1.192458465716189,0.8,1.0732126191445701
FKBP1B,Rest,-2.040962004469989,0.39384426913384585,False,untested,0.5,not_in_atlas,0.14,1.3,0,unannotated,False,1.1727405011174974,0.8,1.0554664510057477
BET1L,Stim48hr,-2.1958523750198498,0.2928391078109722,False,untested,0.5,not_in_atlas,0.118,0.88,0,unannotated,False,1.1589630937549626,0.8,1.0430667843794663
FKBP14,Rest,-2.1047559758178607,0.39566360910035503,False,untested,0.5,not_in_atlas,0.121,0.94,0,unannotated,False,1.1436889939544652,0.8,1.0293200945590186
